,gw,lit
cden,0.30133064548023086,0.30047435603387884
cden2,0.2748082251651498,0.2876239038802218
cdenrc,0.2927992190387423,0.31113655514139893
cdenrc2,0.28049146870379504,0.2995716450412491
cpop,0.27389386779336117,0.30535992421379443
cpop2,0.2748082251651498,0.2876239038802218
cpoprc,0.2643547180259789,0.2961347528372559
cpoprc2,0.28049146870379504,0.2995716450412491
delta_year,0.3388058837445427,0.29484759691319645
ksst,0.010077712590868773,0.030831584450048757
ksst2,0.25499030312555804,0.2214102834024301
ksstrc,0.11596815926431045,0.10889208395912234
ksstrc2,0.14012415714083745,0.15888364714511927
litgw_comm_im_dir_unwei_p95_dyn_eff_comm_size,0.0457919526557065,0.06727721563014254
litgw_comm_im_dir_wei_pNone_dyn_eff_comm_size,0.38305114145108554,0.4061113908694652
litgw_comm_im_undir_unwei_p95_dyn_eff_comm_size,0.2185111925341068,0.13957088812016374
litgw_comm_im_undir_wei_pNone_dyn_eff_comm_size,0.19301194707170014,0.1590178316710341
litgw_comm_ml_undir_unwei_p95_dyn_eff_comm_size,0.009439704631224701,0.02615679265394543
litgw_comm_ml_undir_wei_pNone_dyn_eff_comm_size,0.02396829280848707,0.040778464734554216
litgw_comm_im_dir_unwei_p95_dyn_same_comm,0.15088400857976053,0.1816571445156593
litgw_comm_im_dir_wei_pNone_dyn_same_comm,0.256546084240175,0.2657968600076072
litgw_comm_im_undir_unwei_p95_dyn_same_comm,-0.1246539377742451,-0.09362494454849919
litgw_comm_im_undir_wei_pNone_dyn_same_comm,-0.11524177255593446,-0.04852088634519407
litgw_comm_ml_undir_unwei_p95_dyn_same_comm,0.23333717905262835,0.24185724086241084
litgw_comm_ml_undir_wei_pNone_dyn_same_comm,0.22754626225912217,0.21374573053886822
nhi_affs,-0.038276156236879036,-0.04266736285063004
nhi_authors,0.01782312796456957,-0.03613520030320041
afaupa_rncomms,0.2874331320140714,0.24988200031264565
afaupafu_rncomms,0.2850995089297871,0.24076276434129726
affiliations_rncomms,0.3214038720161487,0.30707951414040474
authors_rncomms,0.31472714077970365,0.29623719825742334
past_rncomms,0.2653793370852561,0.22110082970451733
afaupa_rncomms2,0.31601894955877824,0.2780070074310333
afaupafu_rncomms2,0.31017601504159253,0.27615681733489333
affiliations_rncomms2,0.31962791696872345,0.31009624986883194
authors_rncomms2,0.3174182854568799,0.30675371348906905
past_rncomms2,0.29218925181325467,0.2603495505364742
affiliations_suppind,-0.10045563533018631,-0.059238384093155655
authors_suppind,-0.11200942285951301,-0.08073654138710566
past_suppind,-0.11479661863422008,-0.05095579951081873
affiliations_suppind2,-0.062215129218041725,-0.005878754595190666
authors_suppind2,-0.08100780024517643,-0.019972795383788086
past_suppind2,-0.06320579097274716,0.00561971451325086
year_off,0.25073920811868794,0.26189099652575465
year_off2,0.19210173837563296,0.22191809610168867
