auc for gw,auc for lit
0.760143017628759,0.7315368224104776
0.7921881849930792,0.6481449690033381
0.7126462516250182,0.8166833871523967
0.7500992346211781,0.8252119220102834
0.8005052151238591,0.7765229244840527
0.783403375683766,0.6301398196409366
0.7219153984617902,0.7658483706175588
0.7961661341853037,0.7569882710899544
0.8307611524587915,0.698020518347754
0.8544477611940298,0.8080716359701287
0.7028942275170053,0.6492988065619657
0.7652305900943983,0.7256729860178133
0.7016090555014604,0.8058032786885246
0.8706049256611051,0.7880192182346087
0.7093031058282204,0.6382105314385825
0.8607277632235528,0.6678355412983323
0.7597859416239713,0.7663069301925896
0.7150609080841638,0.7775513647845694
0.8551908304288267,0.74874787124152
0.6895050125313283,0.7441652831936993
0.7701521106630593,0.7335312990647825
0.8638159532105525,0.7912873250044303
0.7027835086130261,0.7774287948737353
0.7447177116385023,0.6515723270440253
0.807688454057877,0.766677189760073
0.797586327247344,0.7607742385491747
0.7506198856413703,0.7065504181635854
0.8076225668247312,0.7789331220703769
0.8482660046641087,0.7706240935460479
0.6539734349818008,0.6815775427018634
0.681535873714175,0.7438050826995048
0.7517222459306223,0.732670654468684
0.8822971322971324,0.7680313236866197
0.6133357616044803,0.7863853380563683
0.7358164535819491,0.7701311425987338
0.84026797104712,0.6782693764200958
0.82397971213447,0.8455390210164652
0.744890125460494,0.8104727886874789
0.7405530866993124,0.5876157338567382
0.7443444667220891,0.7496255668143742
0.790530911967706,0.7375588725084542
0.6299108748651132,0.6783445059749347
0.8381642053579339,0.7544080247857584
0.7138450430712544,0.7261394230769234
0.78748598093407,0.7381457155525996
0.8822943485417635,0.6919566544566546
0.6915324274762373,0.8091314310826503
0.7254368487346844,0.7233564868635202
0.8181127450980392,0.7631275477365373
0.8165959691421787,0.7274904496032912
0.6704026498778426,0.7483029785060317
0.8297946220952914,0.7841110282812277
0.7713274786814306,0.6072813976550193
0.7035748725719795,0.7882119608975903
0.7805091402456441,0.6639878388909396
0.7630873078071354,0.7998325564337897
0.7459844724449534,0.7976544634003195
0.8070700703855447,0.7463282515217514
0.7523688927377449,0.7566999474513924
0.7190631309354673,0.7321990387770463
